institution_name,institution_type,province,city,street,postal_code,phone,email,website,program_categories,is_public,directory_id,created_at,source
High Level Dental Clinic,training_provider,AB,High Level,9818 100th ave,T0H 1Z0,(780) 926-2777,,http://highleveldentalclinic.com/,"Education, Healthcare, IT, Dental",True,5e990637-0f62-4ca8-8acb-346d5a4275d7,2026-01-10T13:15:04.245874+00:00,excel_import
Arthur Murray Dance Studio - Edmonton,training_provider,AB,Edmonton,10707 178 Street NW,T5S 1J6,(587) 855-0043,,https://dancetonight.ca/,"Education, Arts",True,51ed1045-cb59-48d8-a6c2-85ee47925041,2026-01-10T13:15:04.246422+00:00,excel_import
Airdrie Driving School,training_provider,AB,Airdrie,2127 Luxstone Blvd SW,T4B 0C6,(403) 948-2120,glen@airdriedrivingschool.com,https://www.airdriedrivingschool.com/,"Education, Healthcare, IT, Childcare, Beauty, Logistics",True,ddd6cd9f-0915-4b98-9b15-15ad19ad5948,2026-01-10T13:15:04.246941+00:00,excel_import
Yogadotcalm,training_provider,AB,Calgary,380 Canyon Meadows Drive SE Unit 3217,T2J 7C3,(403) 225-2267,,http://www.yogadotcalm.com/,"Education, IT",True,8b7c50ba-5b0c-44e4-a7fd-398398abdd2d,2026-01-10T13:15:04.247415+00:00,excel_import
A Nail Above The Rest Education Facility,training_provider,AB,High River,1116  High View Point NW,T1V 1N9,(403) 782-7251,,https://www.anailabovetherest.ca/,"Education, IT, Beauty",True,98a873ec-2ab8-4036-b139-9f7c0c577167,2026-01-10T13:15:04.247911+00:00,excel_import
A-1 Medical Training,training_provider,AB,Edmonton,11727 Kingsway Avenue NW,T5G 3A1,(780) 213-8999,,http://www.academyhcs.ca/,"Education, Healthcare, IT, Arts",True,3669b823-9a4d-49b4-a743-3fd01d89d791,2026-01-10T13:15:04.248376+00:00,excel_import
Aaa Point Driving School Ltd.,training_provider,AB,Calgary,118-3770 Westwinds Drive NE,T3J 5H3,(403) 590-7444,,http://aaapds.ca/,"Education, IT, Logistics",True,e22a70c3-b449-4ace-b6ce-efd696ee5203,2026-01-10T13:15:04.248843+00:00,excel_import
Aboriginal Training Services Ltd.,training_provider,AB,Edmonton,14410-118 Avenue NW,T5L 2M5,(587) 524-0275,,http://abtraining.ca/,"Education, IT",True,1651ff15-75be-466c-9d09-5fbd1f9087b0,2026-01-10T13:15:04.249290+00:00,excel_import
Ad Truck Driving School,training_provider,AB,Edmonton,202 8746 50 Avenue NW,T6E 5K8,(780) 914-2873,infogp@thetruckdriving.com; info@thetruckdriving.com,https://thetruckdriving.com/,"Education, IT, Logistics",True,33868b7f-bb5b-49db-bd9a-3a353b260a35,2026-01-10T13:15:04.249739+00:00,excel_import
Advance Driving School Ltd,training_provider,AB,Fort Saskatchewan,10211- 100 Avenue,T8L 1Y7,(780) 660-4090,,https://www.advancedrivingschool.ca/,"Education, Healthcare, IT, Logistics, Arts",True,4d1142d5-ab98-4a3c-b6db-134ffe6badf8,2026-01-10T13:15:04.250202+00:00,excel_import
Advantage Tech Inc.,training_provider,AB,Calgary,421-7th Avenue SW,T2P 4K9,(403) 237-8855,,https://advantagetech.com/,"Education, IT",True,265a94dd-9ac9-46c2-8198-901348f2ce92,2026-01-10T13:15:04.250668+00:00,excel_import
Adventure Aviation Inc.,training_provider,AB,Grande Prairie,11021 123 Street,T8V 7Z3,(780) 539-6968,,http://www.adventureaviation.ca/,"Education, Healthcare, IT",True,8e8eb4fd-0fd1-4189-b1e3-15f2b217575f,2026-01-10T13:15:04.251115+00:00,excel_import
Aesthetise Inc.,training_provider,AB,Calgary,256 Promenade Way SE,T2Z 1E5,(403) 681-8123,info@aestheticatelier.ca,http://aestheticatelier.ca/,,True,265d8591-4347-4827-bd33-32d57ce77e07,2026-01-10T13:15:04.251647+00:00,excel_import
Ag Driving Education Inc.,training_provider,AB,Edmonton,3530 78 Ave NW,T6B 2X9,(780) 655-4933,agdriveredu@gmail.com; info@agdrivingedu.ca,http://agdrivingedu.ca/,"Education, Healthcare, Business, IT",True,8b020877-9666-4524-98a0-e2e62e6715a2,2026-01-10T13:15:04.252137+00:00,excel_import
Alberta Business & Health Institute,training_provider,AB,Red Deer,210-5009 50 Ave,T4N 4B2,(403) 986-9998,interationalprograms@abhinstitute.com; enroll@abhinstitute.com,http://www.abhinstitute.com/,"Education, Healthcare, Business, IT, Arts",True,c0d28ddf-ec5b-4ddc-b268-f4f1b8ca07f3,2026-01-10T13:15:04.252638+00:00,excel_import
Alberta College Of Acupuncture & Traditional Chinese Medicine Corp.,college,AB,Calgary,628 12 Avenue SW #300,T2R0H6,(403) 286-8788,admin@acatcm.com,https://www.acatcm.com/,"Education, Community, IT",True,f8c9ce1e-2d42-496c-bfd8-5f18d80344d7,2026-01-10T13:15:04.253116+00:00,excel_import
Alberta College Of Massage Therapy - Calgary,college,AB,Calgary,100-1167 Kensington Crescent NW,T2N 1X7,(877) 768-8400,,https://acmt.ca/,"Education, Healthcare, IT, Childcare, Beauty",True,8b164002-cfa7-4be9-a26d-73bd3c28a919,2026-01-10T13:15:04.253588+00:00,excel_import
Alberta College Of Massage Therapy - Fort Mcmurray,college,AB,FORT MCMURRAY,8115 Franklin Avenue,T5H 5N4,(877) 768-8400,,http://acmt.ca/,"Education, Healthcare, IT, Childcare, Beauty",True,ba23aeea-3175-4ea1-b4d6-ab2849997d1b,2026-01-10T13:15:04.254128+00:00,excel_import
Alberta College Of Massage Therapy - Grande Prairie,college,AB,Grande Prairie,11402-100 Street,T8V 2N5,(877) 768-8400,,http://acmt.ca/,"Education, Healthcare, IT, Childcare, Beauty",True,0bd41ca3-27fe-4f5d-9afc-6ae205290571,2026-01-10T13:15:04.254616+00:00,excel_import
Alberta College Of Massage Therapy - Lloydminster,college,AB,Lloydminster,5712-44 street,T9V 0B6,(877) 768-8400,,http://acmt.ca/,"Education, Healthcare, IT, Childcare, Beauty",True,7fd726a9-25be-47df-b672-2fb1658ca3ae,2026-01-10T13:15:04.255085+00:00,excel_import
Alberta Health & Safety Training Institute,training_provider,AB,Calgary,125-3510 29th Street NE,T1Y 7E5,(403) 670-5406,contact@ahasti.ca,http://www.ahasti.ca/,"Education, Healthcare, IT, Childcare",True,953e8b91-8f7c-4405-b26c-23f63609a0fb,2026-01-10T13:15:04.255599+00:00,excel_import
Alberta Massage Training,training_provider,AB,Calgary,100-1167 Kensington Crescent NW,T2N 1X7,(877) 768-8400,,https://acmt.ca/,"Education, Healthcare, IT, Childcare, Beauty",True,452589df-e8be-468a-b53a-176a1408e45b,2026-01-10T13:15:04.256058+00:00,excel_import
Alberta Mortgage Brokers Association,training_provider,AB,Calgary,310 7326 10 Street NE,T2E 8W1,(587) 774-9828,,http://www.amba.ca/,"Education, IT, Real Estate",True,95c2f7f5-03da-4643-9907-ae04eb15104a,2026-01-10T13:15:04.256686+00:00,excel_import
Ama South Centre,training_provider,AB,Edmonton,10310 G.A. MacDonald Avenue NW,T6J 6R7,(780) 430-5555,,https://ama.ab.ca/centres/edmonton-south?utm_source=gmb-listing&utm_medium=organic,,True,7fae45c8-3002-45bc-964a-2afb9b4fe43c,2026-01-10T13:15:04.257248+00:00,excel_import
Alberta Motor Association O/ Ama Willowpark Centre,training_provider,AB,Calgary,10816 MacLeod Trail SE,T2J 5N8,(403) 278-3530,,https://ama.ab.ca/centres/calgary-willowpark?utm_source=gmb-listing&utm_medium=organic,,True,f74efe35-f025-4d93-a44f-b0600b197b87,2026-01-10T13:15:04.257773+00:00,excel_import
Ama Sherwood Park,training_provider,AB,Sherwood Park,19-101 Main Bremner Driver,T8H 0M5,(780) 467-7945,,https://ama.ab.ca/centres/sherwood-park?utm_source=gmb-listing&utm_medium=organic,,True,cda60ba7-001e-4ca5-913d-caf7d6b78bbd,2026-01-10T13:15:04.258253+00:00,excel_import
Ama Avenida Classroom,training_provider,AB,Calgary,727  12100 McLeod Trail SE,T2J 7G9,(403) 240-5300,,https://ama.ab.ca/centres/calgary-main?utm_source=gmb-listing&utm_medium=organic,,True,2916d593-0326-4d99-b761-0371d95da3b8,2026-01-10T13:15:04.258708+00:00,excel_import
Ama Camrose Centre,training_provider,AB,Camrose,6702-48 Avenue,T4V 4S3,(780) 672-3391,,https://ama.ab.ca/centres/camrose?utm_source=gmb-listing&utm_medium=organic,,True,463bc16b-f3fe-4ce6-a60e-9fc27606ce76,2026-01-10T13:15:04.259223+00:00,excel_import
Ama Crowfoot Centre,training_provider,AB,Calgary,220 Crowfoot Crescent NW,T3G 3N5,(403) 239-6644,,https://ama.ab.ca/centres/calgary-crowfoot?utm_source=gmb-listing&utm_medium=organic,,True,c1aadd8c-05db-4197-85c8-65fd7f11cdc9,2026-01-10T13:15:04.260042+00:00,excel_import
Ama Edmonton Kingsway Centre,training_provider,AB,Edmonton,11220-109 Street NW,T5G 2T6,(780) 474-8601,,https://ama.ab.ca/centres/edmonton-kingsway?utm_source=gmb-listing&utm_medium=organic,,True,84419635-faac-4efe-9a63-7b6b8ad66034,2026-01-10T13:15:04.260784+00:00,excel_import
Ama Edmonton West,training_provider,AB,Edmonton,9938-170 Street,T5T 6G7,(780) 484-1221,,https://ama.ab.ca/centres/edmonton-west?utm_source=gmb-listing&utm_medium=organic,,True,d2301076-0aee-4933-950c-9c1599a3bf7f,2026-01-10T13:15:04.261473+00:00,excel_import
Ama Fort Mcmurray Centre,training_provider,AB,Fort McMurray,4 Hospital Street,T9H 5E4,(780) 743-2433,,https://ama.ab.ca/centres/fort-mcmurray?utm_source=gmb-listing&utm_medium=organic,,True,2396d55f-c7dc-4bd8-a742-6bc74ed0133e,2026-01-10T13:15:04.261997+00:00,excel_import
Ama Grande Prairie Centre,training_provider,AB,Grande Prairie,11401 99 Street,T8V 2H6,(780) 532-4421,,https://ama.ab.ca/centres/grande-prairie?utm_source=gmb-listing&utm_medium=organic,,True,32234caf-df35-43e1-87fe-6efb5aa0652a,2026-01-10T13:15:04.262597+00:00,excel_import
Ama Lethbridge Centre,training_provider,AB,Lethbridge,120 Scenic Drive South,T1J 4R4,(403) 328-1181,,https://ama.ab.ca/centres/lethbridge?utm_source=gmb-listing&utm_medium=organic,,True,cd290a87-2a35-42ce-a2ea-10d090fe97cc,2026-01-10T13:15:04.263090+00:00,excel_import
Ama Main Centre,training_provider,AB,Calgary,4700-17 Avenue SW,T3E 0E3,(780) 474-8601,,https://ama.ab.ca/centres/edmonton-kingsway?utm_source=gmb-listing&utm_medium=organic,,True,38984bbe-f33b-43a6-814a-5e2471499e00,2026-01-10T13:15:04.263626+00:00,excel_import
Ama Manning Drive Centre,training_provider,AB,Edmonton,5040 Manning Drive,T5A 5B4,(780) 473-3112,,https://ama.ab.ca/centres/edmonton-manning?utm_source=gmb-listing&utm_medium=organic,,True,e52c1b30-d2fc-46ea-b8ad-959fae5d3dc3,2026-01-10T13:15:04.264087+00:00,excel_import
Ama Medicine Hat Centre,training_provider,AB,Medicine Hat,2710-13 Avenue SE,T1A 3P8,(403) 527-1166,,https://ama.ab.ca/centres/medicine-hat?utm_source=gmb-listing&utm_medium=organic,,True,786243e4-62cf-48e9-b36d-e7ec65f433d8,2026-01-10T13:15:04.264522+00:00,excel_import
Ama Red Deer Centre,training_provider,AB,Red Deer,2004-50 Avenue,T4R 3A2,(403) 342-6633,,https://ama.ab.ca/centres/red-deer-southpointe?utm_source=gmb-listing&utm_medium=organic,,True,7356ceda-649f-48b1-ab07-43b8d9f81da1,2026-01-10T13:15:04.265066+00:00,excel_import
Ama Shawnessy Centre,training_provider,AB,Calgary,600-85 Shawville Blvd. SE,T2Y 3W5,(403) 254-2447,,https://ama.ab.ca/centres/calgary-shawnessy?utm_source=gmb-listing&utm_medium=organic,,True,bde9e61c-ccd6-4f18-b2c9-889432ef5adb,2026-01-10T13:15:04.265532+00:00,excel_import
Ama St. Albert,training_provider,AB,St. Albert,665 St. Albert Trail,T8N 3L3,(780) 418-8900,,https://ama.ab.ca/centres/st-albert?utm_source=gmb-listing&utm_medium=organic,,True,c228749b-e44e-4d38-b6e8-d0baa0890acf,2026-01-10T13:15:04.265989+00:00,excel_import
Ama Sunridge Centre,training_provider,AB,Calgary,3650-20 Avenue NE,T1Y 6E8,(403) 590-0001,,https://ama.ab.ca/centres/calgary-sunridge?utm_source=gmb-listing&utm_medium=organic,,True,517f8405-e453-4238-801b-0942942c8325,2026-01-10T13:15:04.266491+00:00,excel_import
All Class Driving Academy Ltd.,training_provider,AB,Edmonton,5339-47 Street NW,T6B 3T4,(780) 200-8085,allclassdrivingacademy@gmail.com,https://www.commercialdriver.ca/directory-training/listing/all-class-driving-academy-ltd/,"Education, IT, Logistics",True,b02e9023-61b4-47b1-93a6-9404fcdc59c8,2026-01-10T13:15:04.267009+00:00,excel_import
Alliance Francaise D'Edmonton,training_provider,AB,Edmonton,10424 123rd Street N.W.,T5N 1N7,(587) 852-4575,info@afedmonton.ca,https://www.afedmonton.com/,"Education, Healthcare",True,506d30b4-c0ca-47a8-b235-20d2d7872616,2026-01-10T13:15:04.267460+00:00,excel_import
Alpine Canada Alpin,training_provider,AB,Calgary,302-151 Canada Olympic Road SW,T3B 6B7,(403) 777-3200,info@alpinecanada.org,https://alpinecanada.org/,"Education, Healthcare",True,1dfc0c6b-0ed0-4f98-b894-022ad6ba2ec8,2026-01-10T13:15:04.267915+00:00,excel_import
Archer'S Blue Car Driving School,training_provider,AB,Edmonton,14014 159A Avenue,T6V 1V6,(587) 990-2583,,https://archersbluecar.ca/,"Education, IT, Arts",True,bdf5ec3a-8593-4b5b-9638-e10eeb7cf873,2026-01-10T13:15:04.268366+00:00,excel_import
Archways Healing College,college,AB,Edmonton,275-8702 Meadowlark Road NW,T5R 5W5,(780) 425-7770,,http://www.archwayshealingcollege.com/,"Education, Healthcare, IT, Beauty",True,48b08d97-aece-4ac3-a511-8c2eba9cf16a,2026-01-10T13:15:04.268822+00:00,excel_import
Asylum For Art,training_provider,AB,Calgary,1807-33rd Avenue SW.,T2T 1Z1,(403) 969-7257,,https://www.asylumforart.ca/,,True,6ef3717d-7b6a-48de-827c-46ad1e8e2b53,2026-01-10T13:15:04.269248+00:00,excel_import
Bella Elite Beauty & Barber Academy,training_provider,AB,Lethbridge,311-8th Street,T1J 2J5,(403) 320-2228,Info@BellaEliteBeauty.com,http://bellaelitebeauty.com/,"Education, IT, Beauty, Arts",True,a646bc51-5f7a-42af-a9ca-8103e0f0927c,2026-01-10T13:15:04.269702+00:00,excel_import
Border City Aviation Ltd.,training_provider,AB,Lloydminster,7054-83 Avenue,T9V 3B3,(780) 875-5834,,https://www.bordercityaviation.com/,"Education, Healthcare, IT",True,01e99d5e-63c3-4a74-bacd-bdf5417482ed,2026-01-10T13:15:04.270138+00:00,excel_import
Border Driver Education Inc,training_provider,AB,Lloydminster,5110-62 Street,T9V 2E4,(780) 875-0643,,http://bordercitydrivingtraining2020.com/,"Education, IT, Logistics",True,792efc74-8383-46bb-8d47-6cc2fe036a39,2026-01-10T13:15:04.270580+00:00,excel_import
Buffalo Trail Public Schools,training_provider,AB,Wainwright,1041-10A Street,T9W 2R4,(780) 842-6144,,http://www.btps.ca/,"Education, IT, Logistics, Arts",True,1aba0ff7-ddf1-4c18-b0b5-d3fee1842310,2026-01-10T13:15:04.271033+00:00,excel_import
Burwell School Of Photography,training_provider,AB,Edmonton,3005-119 Street NW,T6J 5R5,(780) 669-1261,admin@bsop.ca,http://www.bsop.ca/,"Education, Arts",True,ae572289-6d52-4bae-b99f-ccb4da97d7fc,2026-01-10T13:15:04.271501+00:00,excel_import
Business Career College Corp.,college,AB,Edmonton,9090-51 Avenue NW,T6E 5X4,(877) 934-5577,,http://www.businesscareercollege.com/,"Education, Business, IT",True,d9344224-da16-4466-8856-b87b262e2baf,2026-01-10T13:15:04.272063+00:00,excel_import
Business Iq Training Inc.,training_provider,AB,Camrose,5015 50 Street,T4V 1R3,(780) 672-2672,,http://www.businessiqtraining.com/,"Education, Business, IT",True,565a423e-5ba5-4090-b929-1359f6f88beb,2026-01-10T13:15:04.272515+00:00,excel_import
Calgary Catholic Immigration Society,training_provider,AB,Calgary,1111 11 Avenue SW,T2R 0G5,(403) 262-2006,,http://www.ccisab.ca/,"Education, Healthcare, Community, Business, IT",True,c1159e9f-2379-43fd-a7de-4cfd73b7ad70,2026-01-10T13:15:04.272967+00:00,excel_import
Calgary Counselling Centre,training_provider,AB,Calgary,12 Avenue SE,T2G 1A1,(833) 827-4229,contactus@calgarycounselling.com,http://calgarycounselling.com/,"Education, Healthcare, IT",True,2a341b2e-fbc1-4b5e-8279-bfb396657d74,2026-01-10T13:15:04.273404+00:00,excel_import
Calgary Flying Club,training_provider,AB,Calgary,155 Maclaurin Drive,T3Z 3S4,(403) 288-8831,cfcdispatch@calgaryflyingclub.com,http://www.calgaryflyingclub.com/,"Education, IT, Arts",True,af89821a-bd78-4238-a7ba-38a0f8737aa0,2026-01-10T13:15:04.273866+00:00,excel_import
Calgary School Of Hypnotherapy,training_provider,AB,Calgary,39 Copperleaf Crescent SE,T2Z 0B9,(403) 816-2671,,https://advancedhypnosiscalgary.com/,"Education, Healthcare, IT",True,8c5685e4-2523-4b81-be6f-492956e8a2d4,2026-01-10T13:15:04.274289+00:00,excel_import
Cameron Driver Education Ltd.,training_provider,AB,Edmonton,15879 116 Avenue NW,T5M 3W1,(780) 455-8157,,https://www.camerondriver.com/home/,,True,85f95e1c-f088-4325-836a-d35a890fc7ac,2026-01-10T13:15:04.274727+00:00,excel_import
Canadian Centre For Professional Legal Education,training_provider,AB,Calgary,333-11th Avenue SW,T2R 1L9,(833) 549-1571,,http://cpled.ca/,"Education, IT, Security, Legal",True,5bf8e1f7-b11f-45ee-9e01-c289e97c0a04,2026-01-10T13:15:04.275181+00:00,excel_import
Canadian Child Abuse Association,training_provider,AB,Calgary,Acadia Postal Outlet,T2J 7A6,,,,,True,bbc9a060-4930-4ba8-9f58-31ccf9079fc2,2026-01-10T13:15:04.275613+00:00,excel_import
Canadian Fire Rescue College Ltd.,college,AB,Alberta Beach,4923 46 A Ave,T0E 0A0,(855) 710-2372,filler@godaddy.com,https://canadianfirerescuecollege.com/,"Education, Healthcare, IT, Logistics",True,58222a1f-ad88-4fcd-93d4-aaf21b0ecfce,2026-01-10T13:15:04.276145+00:00,excel_import
Cfi Flight Academy,training_provider,AB,Claresholm,273163 Sec HWY 520,T0L 0T0,(403) 489-4234,hello@cfiflightacademy.com,http://cfiflightacademy.com/,"Education, Healthcare, IT",True,ea2ff6a5-2c60-4137-ad28-1084834b64ec,2026-01-10T13:15:04.276641+00:00,excel_import
Canadian Health And Business College,college,AB,Calgary,208-1212 1 Street SE,T2G 2H8,(587) 330-3359,,https://www.chbcollege.ca/,"Education, Healthcare, Community, Business, IT",True,225fba31-1af7-45d3-b275-2aaa91804b98,2026-01-10T13:15:04.277099+00:00,excel_import
Canadian Institute Of Home Inspectors,training_provider,AB,Red Deer,PO Box 310 125 Hidden Valley Place NW,T4N 5E9,(403) 396-3938,,https://www.canadianresidentialreddeer.com/,"Education, IT",True,d1219890-16de-4d4b-ae36-ae6051f1067e,2026-01-10T13:15:04.277529+00:00,excel_import
Canadian School Of Natural Nutrition - Alberta,training_provider,AB,Calgary,220-720 28th Street NE,T2A 6R3,(403) 276-1551,info@csnncal.ca,http://www.csnn.ca/calgary,"Education, Healthcare, IT",True,a34260e9-251f-4497-9479-90eea6d3c408,2026-01-10T13:15:04.277973+00:00,excel_import
Canadian School Of Natural Nutrition - Edmonton,training_provider,AB,Sherwood Park,160-360 Sioux Road,T8A 4W7,(780) 437-3933,edmonton@csnn.ca,http://www.csnn.ca/edmonton,"Education, Healthcare, IT, Arts",True,63cbfb64-e789-4190-9a3c-d289b4d9d94b,2026-01-10T13:15:04.278429+00:00,excel_import
Canadian Southern Baptist Seminary,training_provider,AB,Cochrane,200 Seminary View,T4C 2G1,(403) 932-6622,info@cbtsc.ca,https://cbtsc.ca/,"Education, Healthcare, Community, IT, Arts",True,35af1744-c145-4bb1-953c-b80c58775589,2026-01-10T13:15:04.278896+00:00,excel_import
Canadian Taekwondo Council Ltd.,training_provider,AB,Edmonton,9499-137 Avenue NW,T5E 5R8,(780) 863-6227,kodiaktkd@gmail.com,http://www.kodiaktaekwondo.ca/,"Education, IT, Arts",True,b76a042f-8c0d-46f5-80b2-8d2b0d40240e,2026-01-10T13:15:04.279326+00:00,excel_import
Capstone Edge Global Consulting Inc.,training_provider,AB,Calgary,2750-22nd Street NE,72E 7L9,(403) 769-0085,,http://capstoneedgeglobal.ca/,"Education, Business, IT",True,aab05e7b-84e8-4d1a-8587-5aa4c0cbba35,2026-01-10T13:15:04.279787+00:00,excel_import
Caring Safely Inc.,training_provider,AB,Calgary,3553 31 Street NW,T2L 2T7,(825) 994-1542,,https://www.caringsafely.org/,"Education, Healthcare, IT",True,fe166e92-f9e3-45c8-9c80-28a644fedc38,2026-01-10T13:15:04.280222+00:00,excel_import
Cca Truck Driver Training Ltd.,training_provider,AB,Calgary,6A Street South East,T2H 2B7,(403) 253-3004,learn@ccatruckdrivertraining.com,http://www.ccatruckdrivertraining.com/,"Education, Healthcare, IT, Logistics",True,8f214633-ec66-440f-a2c3-6db419dd8cce,2026-01-10T13:15:04.280661+00:00,excel_import
Chartered Professional Accountants (Cpa) Ab,training_provider,AB,Edmonton,10088-102 Avenue,T5J 2Z1,(780) 424-7391,,,,True,ea0fc4d4-ef98-4569-881d-13563ca4c20b,2026-01-10T13:15:04.281094+00:00,excel_import
Chinook Learning Services,training_provider,AB,Calgary,2336-53 Avenue SW,T3E 1L2,(403) 777-7200,chinooklearning@cbe.ab.ca,https://www.chinooklearningservices.com/,"Education, Healthcare, IT, Childcare",True,8ecaef82-2cec-4f23-95c9-586ef105fb79,2026-01-10T13:15:04.281524+00:00,excel_import
City College Of Management,college,AB,Calgary,326-3770 Westwinds Dr. NE,T3J 5H3,,info@city-college.ca,https://city-college.ca/,"Education, Healthcare, Business, IT, Logistics, Pharmacy",True,234cc122-7f78-4014-a9da-e37f7ae5fcc2,2026-01-10T13:15:04.282062+00:00,excel_import
Clac Career Development College Inc.,college,AB,Edmonton,14920 118 Avenue NW,T5V 1B8,(888) 700-7555,,http://claccareercollege.ca/,,True,6b5211c0-50ed-4bc4-8edd-2e149fde21ce,2026-01-10T13:15:04.282503+00:00,excel_import
Clearwater College,college,AB,Caroline,Box 100,T0M 0M0,(800) 838-2975,office@clearwatercollege.com,http://www.clearwatercollege.com/,"Education, Business, IT, Childcare",True,f6069dce-d0bf-488f-b8a4-29e5dbe78302,2026-01-10T13:15:04.282953+00:00,excel_import
Columbia College,college,AB,Calgary,802 Manning Road NE,T2E 7N8,(403) 235-9300,columbia@columbia.ca,http://www.columbia.ca/,"Education, Healthcare, Business, IT, Childcare, Dental",True,4e8e9d04-6964-4cbb-bead-7d533296188d,2026-01-10T13:15:04.283380+00:00,excel_import
Company Of Rogues  Ltd.,training_provider,AB,Calgary,216 - 1217 Centre Street NW,T2E 2R3,(403) 228-5526,,http://www.corogues.com/,"Education, IT, Arts",True,bf011efb-c125-45d8-89e9-83035965852a,2026-01-10T13:15:04.283830+00:00,excel_import
Connections Career And Safety Services Ltd.,training_provider,AB,Medicine Hat,1007 Factory Street SE,T1A 1X8,(403) 528-3779,info@safetyconnections.ca,http://www.safetyconnections.ca/,"Education, IT, Childcare, Logistics",True,ee39eedc-d411-4865-97c7-aefc97ac3854,2026-01-10T13:15:04.284265+00:00,excel_import
Cpa Western School Of Business,training_provider,AB,Edmonton,201-1074 - 103A Street SW,T6W 2P6,(866) 420-2350,,https://www.cpawsb.ca/,"Education, Healthcare, IT",True,40b61776-1594-4914-b521-93379d47721d,2026-01-10T13:15:04.284713+00:00,excel_import
Cycling Instructors Association Of Canada,training_provider,AB,Calgary,44 Harrow Place SW,T2V 3A9,(403) 831-8738,trev@thedoctrine.ca,https://thedoctrine.ca/,"Education, IT",True,4f24e2ae-c498-45ac-ab3b-c32ede936961,2026-01-10T13:15:04.285148+00:00,excel_import
Cypress College Inc.,college,AB,Medicine Hat,7th Street SE #3,T1A 1E2,(403) 527-4382,,https://cypresscollege.ca/,"Education, IT",True,94645c11-2714-4e58-83c4-48cdad0e2de4,2026-01-10T13:15:04.285587+00:00,excel_import
